Title,推噓數,Author,Url,Date
[新聞] 委內瑞拉變局震盪油市 美債先漲為快,6,YU1225,https://www.ptt.cc/bbs/Stock/M.1767698261.A.D5D.html,1/06
Re: [請益] 要如何勸動長輩買0050這種市值型ETF,0,AmuroRai,https://www.ptt.cc/bbs/Stock/M.1767698662.A.08B.html,1/06
[新聞] 177年撒隆巴斯藥廠傳私有化　消息一出股,1,STAV72,https://www.ptt.cc/bbs/Stock/M.1767698883.A.5A8.html,1/06
Re: [請益] 要如何勸動長輩買0050這種市值型ETF,0,alzard,https://www.ptt.cc/bbs/Stock/M.1767698890.A.600.html,1/06
Re: [請益] 要如何勸動長輩買0050這種市值型ETF,2,jovi0001,https://www.ptt.cc/bbs/Stock/M.1767698896.A.7DC.html,1/06
Re: [請益] 要做什麼功課才敢在這種盤抄底？,3,AM903651,https://www.ptt.cc/bbs/Stock/M.1767698917.A.1D3.html,1/06
Re: [請益] 要如何勸動長輩買0050這種市值型ETF,6,a187,https://www.ptt.cc/bbs/Stock/M.1767700086.A.458.html,1/06
[心得] 股版永遠學不乖,0,dxdy,https://www.ptt.cc/bbs/Stock/M.1767700701.A.C84.html,1/06
[閒聊] 2026/01/06 盤後閒聊,99,laptic,https://www.ptt.cc/bbs/Stock/M.1767679205.A.CF6.html,1/06
[新聞] 漲停檔不住？ 華邦電新目標價曝,19,DarkerWu,https://www.ptt.cc/bbs/Stock/M.1767687011.A.717.html,1/06
[情報] 0106 上市外資買賣超排行,爆,saber50116,https://www.ptt.cc/bbs/Stock/M.1767687384.A.36C.html,1/06
[請益] 要做什麼功課才敢在這種盤抄底？,爆,msis20,https://www.ptt.cc/bbs/Stock/M.1767687991.A.80E.html,1/06
[新聞] 中方：禁止所有兩用物項對日本軍事用戶、軍事用途，以,13,icrose,https://www.ptt.cc/bbs/Stock/M.1767689147.A.452.html,1/06
Re: [標的] 華邦電 2344 (空),54,sqt,https://www.ptt.cc/bbs/Stock/M.1767689290.A.CE7.html,1/06
Re: [情報] 115年01月06日 三大法人買賣金額統計表,25,i2taiwan,https://www.ptt.cc/bbs/Stock/M.1767689930.A.524.html,1/06
[請益] 正職轉兼職現金流標的用高股息ETF嗎？,41,sadness0830,https://www.ptt.cc/bbs/Stock/M.1767690099.A.DEE.html,1/06
[標的] 3312弘憶股(華邦電第二) 低檔歐印多,25,tzzzzzm22,https://www.ptt.cc/bbs/Stock/M.1767690834.A.490.html,1/06
Re: [請益] 要做什麼功課才敢在這種盤抄底？,8,fcps996211,https://www.ptt.cc/bbs/Stock/M.1767692751.A.8C4.html,1/06
[請益] 要如何勸動長輩買0050這種市值型ETF,98,xz4979265,https://www.ptt.cc/bbs/Stock/M.1767694777.A.317.html,1/06
[標的] 3019亞光補漲多,10,imlucky,https://www.ptt.cc/bbs/Stock/M.1767696833.A.DDC.html,1/06
[情報] 2323 中環 買華星光1648張，目前剩1193張,0,q1a1,https://www.ptt.cc/bbs/Stock/M.1767697376.A.A51.html,1/06
[情報] 2545 皇翔 賣台達電 賺1485.4萬,3,q1a1,https://www.ptt.cc/bbs/Stock/M.1767697557.A.E2B.html,1/06
"[情報] 5312 寶島科 賣群聯 賺75,509,321元",3,q1a1,https://www.ptt.cc/bbs/Stock/M.1767697781.A.291.html,1/06
[標的] 7744崴寶,10,ninan912,https://www.ptt.cc/bbs/Stock/M.1767697932.A.46E.html,1/06
Re: [請益] 要如何勸動長輩買0050這種市值型ETF,9,SunMoonLake,https://www.ptt.cc/bbs/Stock/M.1767698039.A.99F.html,1/06
[新聞] 台灣人比較盤？金色三麥日本定價「比台灣,90,ChanHoPark,https://www.ptt.cc/bbs/Stock/M.1767681871.A.880.html,1/06
[新聞] 五角大廈「披薩指數」又暴漲12倍多！超越,28,zkow,https://www.ptt.cc/bbs/Stock/M.1767682074.A.811.html,1/06
[情報] 0106 上市投信買賣超排行,38,saber50116,https://www.ptt.cc/bbs/Stock/M.1767682395.A.964.html,1/06
[情報] 2498 宏達電 114年12月營收,26,BlueBird5566,https://www.ptt.cc/bbs/Stock/M.1767682915.A.4E3.html,1/06
[新聞] 害怕被川普盯上封殺？義大利施壓輪胎大廠,8,doozia,https://www.ptt.cc/bbs/Stock/M.1767683342.A.41D.html,1/06
"Re: [情報] 2323 中環 買禾榮科,波若威,上詮,賣順達",0,jdn325,https://www.ptt.cc/bbs/Stock/M.1767683429.A.95D.html,1/06
Re: [請益] 台積電對於巴菲特的價值投資？,33,LINPINPARK,https://www.ptt.cc/bbs/Stock/M.1767683627.A.A2C.html,1/06
[新聞] 焦點股》國巨*：磁珠產品漲價 價量齊揚,8,YU1225,https://www.ptt.cc/bbs/Stock/M.1767683717.A.C6E.html,1/06
[情報] 115年01月06日 三大法人買賣金額統計表,爆,coconing,https://www.ptt.cc/bbs/Stock/M.1767683802.A.CF9.html,1/06
[情報] 2026年前三個開盤日都創歷史新高,9,winall,https://www.ptt.cc/bbs/Stock/M.1767683987.A.185.html,1/06
[新聞] 華邦電創新高！藝人香蕉「跌到13元也沒賣,24,kof70380,https://www.ptt.cc/bbs/Stock/M.1767684205.A.DCB.html,1/06
[新聞] 全台擁954店麥味登！揚秦2025年營收突破3,44,burlroof,https://www.ptt.cc/bbs/Stock/M.1767684359.A.AB6.html,1/06
[情報] 2408 南亞科 12月營收 Y+444.87% m+18.18%,爆,MOMO0478,https://www.ptt.cc/bbs/Stock/M.1767684716.A.7A9.html,1/06
[情報] 3324 雙鴻 114年12月營收,14,rz2x,https://www.ptt.cc/bbs/Stock/M.1767684825.A.A46.html,1/06
[情報] 3264 欣銓自結114/11月單月EPS:0.63,5,paytonii,https://www.ptt.cc/bbs/Stock/M.1767684855.A.A97.html,1/06
[新聞] 星宇員工不滿年終僅1個月 張國煒「聽到了,66,EVGAMIS,https://www.ptt.cc/bbs/Stock/M.1767685548.A.A6F.html,1/06
Re: [新聞] 台灣人比較盤？金色三麥日本定價「比台灣,4,thank7595,https://www.ptt.cc/bbs/Stock/M.1767685701.A.6FB.html,1/06
[創作] 一個人想著畢業快樂,46,peterrita,https://www.ptt.cc/bbs/Stock/M.1767686033.A.0F9.html,1/06
Re: [新聞] 台泥張安平：應減少進口水泥　否則將賠,12,XFight,https://www.ptt.cc/bbs/Stock/M.1767672115.A.39A.html,1/06
[情報] 群創打破台股當日成交張數紀錄,爆,EVGAMIS,https://www.ptt.cc/bbs/Stock/M.1767672304.A.EBC.html,1/06
[請益] 父母退休投資請益,46,mos3491948,https://www.ptt.cc/bbs/Stock/M.1767673149.A.6ED.html,1/06
[新聞]南亞科11月獲利衝新高　股價漲停至歷史最,26,ilqgray,https://www.ptt.cc/bbs/Stock/M.1767673431.A.80A.html,1/06
[標的] 3535晶彩科 人生精彩靠你晶彩多,8,uzgo,https://www.ptt.cc/bbs/Stock/M.1767674719.A.CE8.html,1/06
[標的] 6285啟碁 接棒吃多多,37,DarkerWu,https://www.ptt.cc/bbs/Stock/M.1767676395.A.BA5.html,1/06
Re: [請益] 信貸買美債+大盤ETF 四年後需清償,5,s876612s,https://www.ptt.cc/bbs/Stock/M.1767677099.A.21F.html,1/06
[新聞] 蘇姿丰演講發表 Instinct MI455X 晶片，,23,q8977452,https://www.ptt.cc/bbs/Stock/M.1767677417.A.F81.html,1/06
[請益] 台積電對於巴菲特的價值投資？,25,hbkgod619,https://www.ptt.cc/bbs/Stock/M.1767678283.A.03E.html,1/06
[新聞] 華邦電飆漲空軍出手！他喊估值溢價5成先,40,win8719,https://www.ptt.cc/bbs/Stock/M.1767678549.A.E1F.html,1/06
[閒聊] 2026/01/06 盤後閒聊,71,laptic,https://www.ptt.cc/bbs/Stock/M.1767679205.A.CF6.html,1/06
[情報] 5508 永信建 114年12月營收,10,BlueBird5566,https://www.ptt.cc/bbs/Stock/M.1767679852.A.C20.html,1/06
[情報] 2884 玉山金 12月自結 單月0.12 累計2.12,22,dongforever,https://www.ptt.cc/bbs/Stock/M.1767680008.A.8B0.html,1/06
[情報] 3260 威剛 12月營收 Y+101.21% M+3.79%,27,MOMO0478,https://www.ptt.cc/bbs/Stock/M.1767681870.A.395.html,1/06
